"","Week_index","Region","value"
"186",560,"Autonomous Province of Trento",51.3333333333333
"187",560,"Canton of Ticino",0.333333333333333
"188",560,"Emilia-Romagna",39.3125
"189",560,"Puglia",28.4
"190",560,"Sicily",82.5
"191",561,"Autonomous Province of Trento",24.5
"192",561,"Canton of Ticino",0
"193",561,"Emilia-Romagna",41.9375
"194",561,"Puglia",31.9
"195",561,"Sicily",NA
"196",562,"Autonomous Province of Trento",9.83333333333333
"197",562,"Canton of Ticino",NA
"198",562,"Emilia-Romagna",NA
"199",562,"Puglia",67.6
"200",562,"Sicily",172
"201",563,"Autonomous Province of Trento",0.0833333333333333
"202",563,"Canton of Ticino",NA
"203",563,"Emilia-Romagna",NA
"204",563,"Puglia",17.4
"205",563,"Sicily",44
"206",564,"Autonomous Province of Trento",0
"207",564,"Canton of Ticino",NA
"208",564,"Emilia-Romagna",NA
"209",564,"Puglia",15.8
"210",564,"Sicily",NA
"211",565,"Autonomous Province of Trento",0
"212",565,"Canton of Ticino",NA
"213",565,"Emilia-Romagna",NA
"214",565,"Puglia",6.4
"215",565,"Sicily",15
"216",566,"Autonomous Province of Trento",NA
"217",566,"Canton of Ticino",NA
"218",566,"Emilia-Romagna",NA
"219",566,"Puglia",NA
"220",566,"Sicily",0
"221",567,"Autonomous Province of Trento",0
"222",567,"Canton of Ticino",0
"223",567,"Emilia-Romagna",0
"224",567,"Puglia",0
"225",567,"Sicily",16.5
"226",568,"Autonomous Province of Trento",0
"227",568,"Canton of Ticino",0
"228",568,"Emilia-Romagna",0
"229",568,"Puglia",0
"230",568,"Sicily",NA
"231",569,"Autonomous Province of Trento",0
"232",569,"Canton of Ticino",0
"233",569,"Emilia-Romagna",0
"234",569,"Puglia",0
"235",569,"Sicily",7
"236",570,"Autonomous Province of Trento",0
"237",570,"Canton of Ticino",0
"238",570,"Emilia-Romagna",0
"239",570,"Puglia",0
"240",570,"Sicily",0
"241",571,"Autonomous Province of Trento",0
"242",571,"Canton of Ticino",0
"243",571,"Emilia-Romagna",0
"244",571,"Puglia",0
"245",571,"Sicily",0
"246",572,"Autonomous Province of Trento",0
"247",572,"Canton of Ticino",0
"248",572,"Emilia-Romagna",0
"249",572,"Puglia",0
"250",572,"Sicily",0
"251",573,"Autonomous Province of Trento",0
"252",573,"Canton of Ticino",0
"253",573,"Emilia-Romagna",0
"254",573,"Puglia",0
"255",573,"Sicily",0
"256",574,"Autonomous Province of Trento",0
"257",574,"Canton of Ticino",0
"258",574,"Emilia-Romagna",0
"259",574,"Puglia",0
"260",574,"Sicily",0
"261",575,"Autonomous Province of Trento",0
"262",575,"Canton of Ticino",0
"263",575,"Emilia-Romagna",0
"264",575,"Puglia",0
"265",575,"Sicily",NA
"266",576,"Autonomous Province of Trento",0
"267",576,"Canton of Ticino",0
"268",576,"Emilia-Romagna",0
"269",576,"Puglia",0
"270",576,"Sicily",0
"271",577,"Autonomous Province of Trento",0
"272",577,"Canton of Ticino",0
"273",577,"Emilia-Romagna",0
"274",577,"Puglia",0
"275",577,"Sicily",0
"276",578,"Autonomous Province of Trento",0
"277",578,"Canton of Ticino",0
"278",578,"Emilia-Romagna",0
"279",578,"Puglia",0
"280",578,"Sicily",0
"281",579,"Autonomous Province of Trento",0
"282",579,"Canton of Ticino",0
"283",579,"Emilia-Romagna",0
"284",579,"Puglia",0
"285",579,"Sicily",NA
"286",580,"Autonomous Province of Trento",0
"287",580,"Canton of Ticino",0
"288",580,"Emilia-Romagna",0
"289",580,"Puglia",0
"290",580,"Sicily",0
"291",581,"Autonomous Province of Trento",0
"292",581,"Canton of Ticino",0
"293",581,"Emilia-Romagna",0
"294",581,"Puglia",0
"295",581,"Sicily",0
"296",582,"Autonomous Province of Trento",0
"297",582,"Canton of Ticino",0
"298",582,"Emilia-Romagna",0
"299",582,"Puglia",0
"300",582,"Sicily",0
"301",583,"Autonomous Province of Trento",NA
"302",583,"Canton of Ticino",NA
"303",583,"Emilia-Romagna",0
"304",583,"Puglia",NA
"305",583,"Sicily",0
"306",584,"Autonomous Province of Trento",NA
"307",584,"Canton of Ticino",NA
"308",584,"Emilia-Romagna",NA
"309",584,"Puglia",NA
"310",584,"Sicily",NA
"311",585,"Autonomous Province of Trento",NA
"312",585,"Canton of Ticino",NA
"313",585,"Emilia-Romagna",NA
"314",585,"Puglia",NA
"315",585,"Sicily",NA
"316",586,"Autonomous Province of Trento",NA
"317",586,"Canton of Ticino",NA
"318",586,"Emilia-Romagna",NA
"319",586,"Puglia",NA
"320",586,"Sicily",NA
"321",587,"Autonomous Province of Trento",NA
"322",587,"Canton of Ticino",NA
"323",587,"Emilia-Romagna",NA
"324",587,"Puglia",NA
"325",587,"Sicily",NA
"326",588,"Autonomous Province of Trento",NA
"327",588,"Canton of Ticino",NA
"328",588,"Emilia-Romagna",NA
"329",588,"Puglia",NA
"330",588,"Sicily",NA
"331",589,"Autonomous Province of Trento",NA
"332",589,"Canton of Ticino",NA
"333",589,"Emilia-Romagna",NA
"334",589,"Puglia",NA
"335",589,"Sicily",NA
"336",590,"Autonomous Province of Trento",NA
"337",590,"Canton of Ticino",NA
"338",590,"Emilia-Romagna",NA
"339",590,"Puglia",NA
"340",590,"Sicily",NA
"341",591,"Autonomous Province of Trento",NA
"342",591,"Canton of Ticino",NA
"343",591,"Emilia-Romagna",NA
"344",591,"Puglia",NA
"345",591,"Sicily",NA
"346",592,"Autonomous Province of Trento",NA
"347",592,"Canton of Ticino",NA
"348",592,"Emilia-Romagna",NA
"349",592,"Puglia",NA
"350",592,"Sicily",NA
"351",593,"Autonomous Province of Trento",NA
"352",593,"Canton of Ticino",0
"353",593,"Emilia-Romagna",NA
"354",593,"Puglia",NA
"355",593,"Sicily",NA
"356",594,"Autonomous Province of Trento",0
"357",594,"Canton of Ticino",0
"358",594,"Emilia-Romagna",17.4705882352941
"359",594,"Puglia",NA
"360",594,"Sicily",NA
"361",595,"Autonomous Province of Trento",0
"362",595,"Canton of Ticino",0
"363",595,"Emilia-Romagna",19.5294117647059
"364",595,"Puglia",NA
"365",595,"Sicily",NA
"366",596,"Autonomous Province of Trento",0
"367",596,"Canton of Ticino",0
"368",596,"Emilia-Romagna",33.3823529411765
"369",596,"Puglia",NA
"370",596,"Sicily",NA
"371",597,"Autonomous Province of Trento",0
"372",597,"Canton of Ticino",0
"373",597,"Emilia-Romagna",33.2352941176471
"374",597,"Puglia",NA
"375",597,"Sicily",NA
"376",598,"Autonomous Province of Trento",0
"377",598,"Canton of Ticino",0
"378",598,"Emilia-Romagna",70.96875
"379",598,"Puglia",NA
"380",598,"Sicily",NA
"381",599,"Autonomous Province of Trento",0
"382",599,"Canton of Ticino",0
"383",599,"Emilia-Romagna",70.25
"384",599,"Puglia",NA
"385",599,"Sicily",NA
"386",600,"Autonomous Province of Trento",1.57142857142857
"387",600,"Canton of Ticino",0
"388",600,"Emilia-Romagna",138.333333333333
"389",600,"Puglia",NA
"390",600,"Sicily",NA
"391",601,"Autonomous Province of Trento",6.35714285714286
"392",601,"Canton of Ticino",0
"393",601,"Emilia-Romagna",143.866666666667
"394",601,"Puglia",NA
"395",601,"Sicily",NA
"396",602,"Autonomous Province of Trento",4.57142857142857
"397",602,"Canton of Ticino",0
"398",602,"Emilia-Romagna",80.90625
"399",602,"Puglia",NA
"400",602,"Sicily",NA
"401",603,"Autonomous Province of Trento",8.2
"402",603,"Canton of Ticino",0.75
"403",603,"Emilia-Romagna",80.21875
"404",603,"Puglia",NA
"405",603,"Sicily",NA
"406",604,"Autonomous Province of Trento",0
"407",604,"Canton of Ticino",0.5
"408",604,"Emilia-Romagna",143.59375
"409",604,"Puglia",NA
"410",604,"Sicily",NA
"411",605,"Autonomous Province of Trento",7.57142857142857
"412",605,"Canton of Ticino",5
"413",605,"Emilia-Romagna",146.40625
"414",605,"Puglia",30.2
"415",605,"Sicily",NA
"416",606,"Autonomous Province of Trento",26.0714285714286
"417",606,"Canton of Ticino",4.25
"418",606,"Emilia-Romagna",145.392857142857
"419",606,"Puglia",32.4
"420",606,"Sicily",NA
"421",607,"Autonomous Province of Trento",14.6428571428571
"422",607,"Canton of Ticino",8.66666666666667
"423",607,"Emilia-Romagna",149.142857142857
"424",607,"Puglia",32.9
"425",607,"Sicily",NA
"426",608,"Autonomous Province of Trento",24.7142857142857
"427",608,"Canton of Ticino",10
"428",608,"Emilia-Romagna",102.25
"429",608,"Puglia",31.5
"430",608,"Sicily",NA
"431",609,"Autonomous Province of Trento",32.5
"432",609,"Canton of Ticino",13
