"","Week_index","Province","MOI"
"198",875,"Guangxi",8.33783783757143
"199",875,"Guizhou",8.10428571428571
"200",875,"Hunan",5.64142857142857
"201",876,"Beijing",NA
"202",876,"Guangdong",4.037383178
"203",876,"Guangxi",4.824324324
"204",876,"Guizhou",5.74
"205",876,"Hunan",3.52
"206",877,"Beijing",NA
"207",877,"Guangdong",4.10146862514286
"208",877,"Guangxi",4.68918918885714
"209",877,"Guizhou",5.74
"210",877,"Hunan",3.52
"211",878,"Beijing",NA
"212",878,"Guangdong",4.485981308
"213",878,"Guangxi",3.878378378
"214",878,"Guizhou",5.74
"215",878,"Hunan",3.52
"216",879,"Beijing",NA
"217",879,"Guangdong",4.485981308
"218",879,"Guangxi",3.878378378
"219",879,"Guizhou",5.74
"220",879,"Hunan",3.52
"221",880,"Beijing",NA
"222",880,"Guangdong",3.17222963942857
"223",880,"Guangxi",1.36486486485714
"224",880,"Guizhou",5.74
"225",880,"Hunan",3.52
"226",881,"Beijing",NA
"227",881,"Guangdong",2.953271028
"228",881,"Guangxi",0.945945946
"229",881,"Guizhou",NA
"230",881,"Hunan",NA
"231",882,"Beijing",NA
"232",882,"Guangdong",2.89986648871429
"233",882,"Guangxi",1.14864864885714
"234",882,"Guizhou",NA
"235",882,"Hunan",NA
"236",883,"Beijing",NA
"237",883,"Guangdong",2.878504673
"238",883,"Guangxi",1.22972973
"239",883,"Guizhou",NA
"240",883,"Hunan",NA
"241",884,"Beijing",NA
"242",884,"Guangdong",2.878504673
"243",884,"Guangxi",1.22972973
"244",884,"Guizhou",NA
"245",884,"Hunan",NA
"246",885,"Beijing",NA
"247",885,"Guangdong",NA
"248",885,"Guangxi",NA
"249",885,"Guizhou",NA
"250",885,"Hunan",NA
"251",886,"Beijing",NA
"252",886,"Guangdong",NA
"253",886,"Guangxi",NA
"254",886,"Guizhou",NA
"255",886,"Hunan",NA
"256",887,"Beijing",NA
"257",887,"Guangdong",NA
"258",887,"Guangxi",NA
"259",887,"Guizhou",NA
"260",887,"Hunan",NA
"261",888,"Beijing",NA
"262",888,"Guangdong",NA
"263",888,"Guangxi",NA
"264",888,"Guizhou",NA
"265",888,"Hunan",NA
"266",889,"Beijing",NA
"267",889,"Guangdong",NA
"268",889,"Guangxi",NA
"269",889,"Guizhou",NA
"270",889,"Hunan",NA
"271",890,"Beijing",NA
"272",890,"Guangdong",NA
"273",890,"Guangxi",NA
"274",890,"Guizhou",NA
"275",890,"Hunan",NA
"276",891,"Beijing",NA
"277",891,"Guangdong",NA
